Task,Prompt,Expected Output,Model Output,Correct
maet,"For the given question: What is a primary purpose of setting up a rogue master in an ICS environment?, and four options: A) Sending legitimate control messages to devices, B) Intercepting internal communications, C) Encrypting network traffic, or D) Creating network segmentation, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Sending legitimate control messages to devices
B) Intercepting internal communications
C) Encrypting network traffic
D) Creating network segmentation",A,"ICS environment?, and four options: A) Sending legitimate control messages to devices, B",False
maet,"For the given question: Which incident involved adversaries using a rogue master to control emergency systems?, and four options: A) Maroochy Water Breach, B) 2017 Dallas Siren incident, C) Stuxnet Attack, or D) BlackEnergy Attack, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Maroochy Water Breach
B) 2017 Dallas Siren incident
C) Stuxnet Attack
D) BlackEnergy Attack",B,"Maroochy Water Breach, B) 2017 Dallas Siren incident, C) Stux",False
maet,"For the given question: What mitigation strategy helps ensure authenticity of control functions?, and four options: A) Network segmentation, B) Network allowlists, C) Communication authenticity, or D) Filtering network traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Network segmentation
B) Network allowlists
C) Communication authenticity
D) Filtering network traffic",C,"mitigation strategy helps ensure authenticity of control functions?, and four options: A) Network segmentation",False
maet,"For the given question: How can adversaries avoid detection when using a rogue master?, and four options: A) Using strong encryption, B) Bypassing firewalls, C) Impersonating the actual master, or D) Hiding in network traffic, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Using strong encryption
B) Bypassing firewalls
C) Impersonating the actual master
D) Hiding in network traffic",C,"Using strong encryption, B) Bypassing firewalls, C) Impersonating the actual",False
maet,"For the given question: What monitoring practice helps detect new master devices communicating with outstations?, and four options: A) Reviewing application logs, B) Analyzing user behavior, C) Encrypting data traffic, or D) Using VPNs, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Reviewing application logs
B) Analyzing user behavior
C) Encrypting data traffic
D) Using VPNs",A,"Using VPNs, pick the best option as the answer, and return as either A, B",False
maet,"For the given question: Which mitigation strategy involves creating strict isolation for critical control information?, and four options: A) Network allowlists, B) Filtering network traffic, C) Software process authentication, or D) Network segmentation, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Network allowlists
B) Filtering network traffic
C) Software process authentication
D) Network segmentation",D,"strategy involves creating strict isolation for critical control information?, and four options: A) Network allow",False
maet,"For the given question: Which of the following is a common example of a Denial-of-Service (DoS) attack?, and four options: A) Overwhelming a device with high volume requests, B) Using phishing to steal credentials, C) Installing ransomware on a system, or D) Encrypting files on a network, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Overwhelming a device with high volume requests
B) Using phishing to steal credentials
C) Installing ransomware on a system
D) Encrypting files on a network",A,True,False
maet,"For the given question: What might make some ICS devices particularly sensitive to DoS attacks?, and four options: A) Simple ping sweeps, B) Complex encryption protocols, C) Strong password policies, or D) Regular software updates, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Simple ping sweeps
B) Complex encryption protocols
C) Strong password policies
D) Regular software updates",A,True,False
maet,"For the given question: How might an adversary execute a Permanent Denial-of-Service (PDoS) attack?, and four options: A) Bricking devices with firmware overwrites, B) Using social engineering tactics, C) Implementing multi-factor authentication, or D) Performing regular software backups, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Bricking devices with firmware overwrites
B) Using social engineering tactics
C) Implementing multi-factor authentication
D) Performing regular software backups",A,"Using social engineering tactics C) Implementing multi-factor authentication, or D) Performing regular",False
maet,"For the given question: Which malware is known for exploiting the CVE-2015-5374 vulnerability to cause a Denial-of-Service?, and four options: A) Industroyer, B) PLC-Blaster, C) BrickerBot, or D) Backdoor.Oldrea, pick the best option as the answer, and return as either A, B, C or D. If you do not know the answer, return X. Choose the appropriate letter from A, B, C, D, or X as your answer. Please provide only the letter corresponding to your choice without any additional text or explanations.
A) Industroyer
B) PLC-Blaster
C) BrickerBot
D) Backdoor.Oldrea",A,"CVE-2015-5374?, and four options: A) Industroyer,",False
