Task,Prompt,Expected Output,Model Output,Correct
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,7.8,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:L/A:L. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,7.6,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,9.8,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,10.0,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:P/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,7.6,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:L/AC:L/PR:L/UI:N/S:C/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,6.5,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,7.5,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,7.2,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,8.8,X,False
cpst,Calculate the CVSS v3 score for the following CVSS v3 Vector String: AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:H. Return your answer as a single number between 0.0 and 10.0. Provide only the number corresponding to your answer without any additional text or explanations.,6.5,X,False
